lb,inst_lumi_ub_s,collbunches,mu
1,0.353471,900,0.002794099105775406
2,0.353102,900,0.002791182253841214
3,0.354672,1044,0.002416890265405314
4,0.356078,1044,0.002426471364880773
5,0.354952,1044,0.002418798307975107
6,0.354905,1188,0.0021253291773522987
7,0.355308,1188,0.002127742520806105
8,0.354884,1296,0.0019481031350010154
9,0.355065,1296,0.0019490967178828452
10,0.355297,1404,0.00180034177899896
11,0.356195,1404,0.0018048920761237345
12,0.355648,1548,0.0016344812451816082
13,0.355789,1548,0.001635129250668974
14,0.356603,1548,0.0016388702185180205
15,0.356287,1692,0.0014980632316753334
16,0.357224,1836,0.001384198835405908
17,0.358071,1836,0.001387480855688948
18,0.357159,1908,0.001331722554538565
19,0.357373,2016,0.0012611354605574258
20,0.357896,2016,0.0012629810780099798
21,0.358297,2016,0.0012643961690204464
22,0.358624,2016,0.0012655501210414504
23,0.358251,2016,0.0012642338393783479
24,0.358473,2160,0.001180682772590287
25,0.359195,2160,0.0011830607842168534
26,0.358289,2160,0.001180076741926453
27,0.358264,2160,0.0011799944008036496
28,0.358715,2160,0.0011814798346590255
29,0.358818,2160,0.001181819080084976
30,0.359332,2304,0.0011095425127217035
31,0.35985,2448,0.0010457806955596824
32,0.359733,2448,0.0010454406751584583
33,0.359936,2448,0.0010460306250853683
34,0.360668,2448,0.0010481579322109754
35,0.360967,2448,0.0010490268732363257
36,0.361328,2448,0.0010500759960127522
37,0.261848,2448,0.0007609714702540272
38,0.265154,2448,0.0007705792262065639
39,0.268715,2448,0.0007809280522643325
40,0.267814,2448,0.0007783096045591794
41,0.270121,2448,0.0007850141093935722
42,0.273534,2448,0.0007949328241745786
43,0.274193,2448,0.0007968479818190801
44,0.279506,2448,0.0008122883954233835
45,0.286809,2448,0.0008335120620057715
46,0.292352,2448,0.0008496208917834216
47,0.295355,2448,0.000858348082081506
48,0.300469,2448,0.000873210170388001
49,0.309078,2448,0.000898229278372087
50,0.318105,2448,0.0009244631600972982
51,0.325342,2448,0.0009454950202995086
52,0.332084,2448,0.0009650883326503864
53,0.329412,2448,0.0009573230804104654
54,0.336092,2448,0.0009767362110102674
55,0.344384,2448,0.0010008340671380455
56,0.352696,2448,0.0010249900464113317
57,0.360334,2448,0.0010471872756809852
58,0.368568,2448,0.0010711165746867888
59,0.377346,2448,0.0010966268232504208
60,0.387698,2448,0.0011267113633655625
61,0.400204,2448,0.001163055766251958
62,0.412238,2448,0.0011980284629043555
63,0.415425,2448,0.001207290386141117
64,0.41468,2448,0.0012051252989709299
65,0.413587,2448,0.0012019488690688963
66,0.414171,2448,0.0012036460649177412
67,0.413271,2448,0.0012010305233698638
68,0.41456,2448,0.0012047765600978792
69,0.416939,2448,0.0012116903082561024
70,0.416533,2448,0.001210510408402282
71,0.415743,2448,0.0012082145441547007
72,0.421176,2448,0.0012240036966320543
73,0.447866,2448,0.0013015690343129989
74,0.458784,2448,0.0013332984594460284
75,0.464371,2448,0.0013495351601437967
76,0.481156,2448,0.001398315010011712
77,0.47333,2448,0.0013755714231742794
78,0.455849,2448,0.0013247688878426723
79,0.453693,2448,0.001318503212756868
80,0.454637,2448,0.001321246625224864
81,804.963,2448,2.3393490788934517
82,17561.4,2448,51.036190376550806
83,16772.7,2448,48.74410413342749
84,16499.8,2448,47.95101381296553
85,16191.7,2448,47.055626756408806
86,16789.0,2448,48.79147449701683
87,17409.6,2448,50.59503570214212
88,17396.3,2448,50.55638381037905
89,17390.0,2448,50.53807501954391
90,17377.4,2448,50.50145743787363
91,17367.9,2448,50.47384894375715
92,17356.5,2448,50.440718750817354
93,17342.5,2448,50.400032548961484
94,17331.5,2448,50.36806481893186
95,17323.2,2448,50.34394371354589
96,17317.0,2448,50.32592553843829
97,17308.9,2448,50.30238566450739
98,17285.2,2448,50.23350973707995
99,17235.3,2448,50.08849248903652
100,17203.9,2448,49.99723915058835
101,17202.3,2448,49.99258929894768
102,17624.7,2448,51.22015013208485
103,18014.4,2448,52.35267962231581
104,18192.9,2448,52.871428695978175
105,18676.8,2448,54.27771820155363
106,18913.6,2448,54.965896244372956
107,19038.7,2448,55.32945651952793
108,19303.3,2448,56.09842573460391
109,19423.2,2448,56.446873991926694
110,19407.0,2448,56.3997942440649
111,19394.7,2448,56.364048509577245
112,19368.7,2448,56.288488420416336
113,18537.5,2448,53.8728904930877
114,16232.0,2448,47.17274489460821
115,17978.7,2448,52.24892980758332
116,20457.3,2448,59.45213123043793
117,21565.3,2448,62.67215349160266
118,21552.1,2448,62.63379221556712
119,21491.7,2448,62.4582603161318
120,21444.4,2448,62.32079907700446
121,21392.2,2448,62.169097667227554
122,21353.7,2448,62.05721061212391
123,21335.6,2448,62.004609165438815
124,21266.8,2448,61.80466554488996
125,21202.6,2448,61.61809024780802
126,21230.3,2448,61.69859080433715
127,21164.6,2448,61.50765627134209
128,21180.8,2448,61.55473601920388
129,21560.1,2448,62.65704147377047
130,21722.2,2448,63.128129568115966
131,21588.1,2448,62.738413877482216
132,21444.8,2448,62.32196153991462
133,21332.0,2448,61.994146999247306
134,21236.5,2448,61.71660897944475
135,21198.2,2448,61.605303155796186
136,21380.6,2448,62.13538624283268
137,21308.8,2448,61.92672415045757
138,21188.9,2448,61.57827589313479
139,21136.9,2448,61.427155714812976
140,21339.3,2448,62.01536194735786
141,21324.5,2448,61.97235081968166
142,21222.1,2448,61.6747603146787
143,21523.2,2448,62.5498042703075
144,21471.3,2448,62.39897470771323
145,21360.9,2448,62.07813494450693
146,21367.5,2448,62.09731558252469
147,21199.2,2448,61.608209313071605
148,21174.7,2448,61.53700845982383
149,21202.5,2448,61.61779963208049
150,21432.2,2448,62.28534395824434
151,21359.7,2448,62.07464755577642
152,21702.4,2448,63.07058765406266
153,21709.9,2448,63.09238383362831
154,21642.1,2448,62.89534637035487
155,21520.5,2448,62.54195764566386
156,21444.2,2448,62.32021784554937
157,21327.3,2448,61.980488060052835
158,21693.6,2448,63.045013470038974
159,21591.3,2448,62.747713580763566
160,21486.2,2448,62.44227645111698
161,21429.6,2448,62.277787949328236
162,21357.5,2448,62.06825400977051
163,21519.6,2448,62.53934210411598
164,21486.9,2448,62.444310761209785
165,21446.2,2448,62.3260301601002
166,21544.7,2448,62.61228665172903
167,21894.0,2448,63.62740738803301
168,22232.3,2448,64.61056039430741
169,22104.1,2448,64.23799103159865
170,21647.3,2448,62.910458388187045
171,21827.9,2448,63.43531039212781
172,21868.4,2448,63.553009761782285
173,21737.2,2448,63.17172192724726
174,21649.1,2448,62.915689471282796
175,21826.6,2448,63.431532387669755
176,21726.2,2448,63.139754197217655
177,21671.3,2448,62.98020616279712
178,21739.7,2448,63.17898732043581
179,21704.1,2448,63.075528121430864
180,21676.6,2448,62.995608796356834
181,21926.0,2448,63.720404420846435
182,21847.0,2448,63.49081799608831
183,21782.9,2448,63.30453331473392
184,21721.3,2448,63.12551402656809
185,21753.3,2448,63.21851105938151
186,21827.6,2448,63.434438544945166
187,21715.2,2448,63.10778646718803
188,21703.3,2448,63.07320319561054
189,21897.2,2448,63.63670709131438
190,21832.5,2448,63.44867871559473
191,21957.8,2448,63.812820222204785
192,21870.7,2448,63.55969392351575
193,22057.0,2448,64.10111102392639
194,21929.8,2448,63.73144781849304
195,21979.1,2448,63.874721372171216
196,21894.9,2448,63.6300229295809
197,21863.5,2448,63.53876959113273
198,22015.6,2448,63.98079611272403
199,21883.5,2448,63.59689273664113
200,21882.7,2448,63.594567810820784
201,21884.3,2448,63.599217662461456
202,21658.5,2448,62.94300734967175
203,21905.4,2448,63.66053758097281
204,22002.2,2448,63.94185360523342
205,21999.8,2448,63.9348788277724
206,21917.1,2448,63.6945396210952
207,22043.3,2448,64.06129666925315
208,21918.0,2448,63.69715516264309
209,21917.7,2448,63.69628331546047
210,22060.7,2448,64.11186380584545
211,22139.9,2448,64.34203146205866
212,22157.3,2448,64.39259859865096
213,22134.9,2448,64.32750067568158
214,22053.2,2448,64.0900676262798
215,22061.6,2448,64.11447934739333
216,22012.1,2448,63.97062456226006
217,21902.6,2448,63.65240034060163
218,21897.8,2448,63.638450785679616
219,21996.4,2448,63.92499789303598
220,22035.6,2448,64.03891925823241
221,21949.3,2448,63.78811788536372
222,21924.6,2448,63.71633580066085
223,21952.3,2448,63.79683635718998
224,21919.3,2448,63.700933167101134
225,21868.1,2448,63.552137914599655
226,22128.9,2448,64.31006373202906
227,22082.8,2448,64.17608988163221
228,22008.8,2448,63.96103424325118
229,21936.2,2448,63.750047225055724
230,21934.3,2448,63.74452552623243
231,21877.5,2448,63.579455792988604
232,21800.1,2448,63.35451921987113
233,21815.9,2448,63.40043650482278
234,21956.3,2448,63.80846098629166
235,21899.0,2448,63.64193817441012
236,21979.5,2448,63.875883835081396
237,22102.6,2448,64.23363179568553
238,22022.7,2448,64.0014298293795
239,22071.1,2448,64.14208784150979
240,21967.8,2448,63.84188179495898
241,21901.8,2448,63.65007541478129
242,21883.7,2448,63.5974739680962
243,22071.3,2448,64.14266907296489
244,22016.5,2448,63.983411654271904
245,21955.7,2448,63.806717291926404
246,21934.8,2448,63.74597860487014
247,22031.8,2448,64.02787586058582
248,22023.8,2448,64.00462660238246
249,21991.5,2448,63.910757722386414
250,21998.5,2448,63.93110082331436
251,21935.8,2448,63.74888476214556
252,21941.1,2448,63.76428739570528
253,21940.7,2448,63.763124932795115
254,21916.3,2448,63.69221469527488
255,22061.8,2448,64.1150605788484
256,22003.5,2448,63.94563160969145
257,22030.0,2448,64.02264477749007
258,21991.0,2448,63.90930464374871
259,21956.2,2448,63.80817037056411
260,21931.5,2448,63.73638828586125
261,21876.2,2448,63.57567778853056
262,21930.5,2448,63.733482128585834
263,22061.1,2448,64.11302626875562
264,22023.9,2448,64.00491721811001
265,21976.5,2448,63.867165363255125
266,21956.2,2448,63.80817037056411
267,21937.7,2448,63.75440646096885
268,22359.5,2448,64.98022359974077
269,22177.9,2448,64.4524654385246
270,21839.5,2448,63.46902181652267
271,22063.6,2448,64.12029166194415
272,22020.7,2448,63.99561751482867
273,21979.0,2448,63.87443075644368
274,21960.0,2448,63.81921376821071
275,21925.7,2448,63.71953257366382
276,22026.6,2448,64.01276384275363
277,21871.6,2448,63.56230946506362
278,21889.7,2448,63.61491091174872
279,22039.7,2448,64.05083450306164
280,21937.0,2448,63.75237215087606
281,21896.6,2448,63.63496339694912
282,21990.9,2448,63.90901402802117
283,21967.0,2448,63.83955686913865
284,21915.1,2448,63.68872730654437
285,22055.5,2448,64.09675178801326
286,21877.9,2448,63.58061825589877
287,21965.1,2448,63.834035170315346
288,21977.9,2448,63.871233983440725
289,21954.3,2448,63.80264867174082
290,22006.7,2448,63.9549313129728
291,21979.3,2448,63.875302603626295
292,21938.8,2448,63.757603233971814
293,21882.3,2448,63.59340534791062
294,21804.2,2448,63.36643446470037
295,21739.1,2448,63.17724362607055
296,21825.9,2448,63.42949807757696
297,21972.5,2448,63.85554073415345
298,21895.1,2448,63.63060416103599
299,21894.2,2448,63.62798861948811
300,21833.6,2448,63.451875488597686
301,22115.0,2448,64.26966814590071
302,22042.0,2448,64.05751866479511
303,22020.3,2448,63.9944550519185
304,21950.8,2448,63.792477121276846
305,21894.2,2448,63.62798861948811
306,21878.5,2448,63.58236195026402
307,21926.0,2448,63.720404420846435
308,21877.5,2448,63.579455792988604
309,21887.0,2448,63.60706428710509
310,22044.1,2448,64.06362159507349
311,22067.7,2448,64.13220690677339
312,21991.3,2448,63.910176490931335
313,22072.6,2448,64.14644707742293
314,22078.8,2448,64.16446525253053
315,21849.7,2448,63.49866462073195
316,21844.2,2448,63.48268075571714
317,22045.8,2448,64.0685620624417
318,22267.6,2448,64.71314774612972
319,22067.2,2448,64.13075382813567
320,22004.8,2448,63.9494096141495
321,21964.5,2448,63.83229147595009
322,21919.1,2448,63.700351935646054
323,21881.3,2448,63.5904991906352
324,21996.6,2448,63.92557912449105
325,21947.4,2448,63.78259618654043
326,22007.9,2448,63.95841870170331
327,22038.0,2448,64.04589403569342
328,21931.3,2448,63.73580705440617
329,22081.1,2448,64.17114941426401
330,22015.8,2448,63.981377344179116
331,21946.7,2448,63.78056187644763
332,21998.2,2448,63.93022897613173
333,21909.7,2448,63.67303405725711
334,21870.6,2448,63.55940330778821
335,21871.5,2448,63.56201884933609
336,21914.9,2448,63.6881460750893
337,21977.7,2448,63.87065275198564
338,22003.6,2448,63.945922225419
339,21965.4,2448,63.83490701749798
340,21963.3,2448,63.828804087219595
341,21875.6,2448,63.57393409416531
342,21874.6,2448,63.57102793688988
343,21946.4,2448,63.779690029265005
344,21887.8,2448,63.60938921292543
345,21896.0,2448,63.633219702583865
346,21822.0,2448,63.41816406420283
347,21921.7,2448,63.707907944562145
348,22029.0,2448,64.01973862021465
349,22000.9,2448,63.93807560077536
