lb,inst_lumi_ub_s,collbunches,mu
1,6.27082,96,0.4647117237290648
2,6.2972,96,0.4666666666666667
3,6.27705,96,0.4651734104046243
4,6.24551,96,0.4628360752927227
5,6.24914,96,0.46310508374092185
6,6.24824,96,0.46303838743145104
7,6.32333,144,0.3124020552344252
8,6.27494,144,0.31001136307494687
9,6.27516,144,0.31002223210315694
10,6.26346,144,0.30944419742107604
11,6.27884,0,0.0
12,6.30419,0,0.0
13,6.29145,0,0.0
14,6.29366,0,0.0
15,6.24282,0,0.0
16,6.28371,0,0.0
17,6.31763,0,0.0
18,6.26889,0,0.0
19,6.18762,0,0.0
20,6.28191,0,0.0
21,6.30816,0,0.0
22,6.33072,0,0.0
23,6.32036,0,0.0
24,6.33136,0,0.0
25,6.31327,0,0.0
26,6.30711,0,0.0
27,6.29414,0,0.0
28,6.2729,0,0.0
29,6.29004,0,0.0
30,6.25163,0,0.0
31,6.2681,48,0.9290203053208832
32,6.26334,0,0.0
33,6.24197,0,0.0
34,6.26354,0,0.0
35,6.30512,0,0.0
36,6.23401,0,0.0
37,6.21059,0,0.0
38,6.25418,0,0.0
39,6.26227,0,0.0
40,6.24868,0,0.0
41,6.22773,0,0.0
42,6.25971,0,0.0
43,6.22821,0,0.0
44,6.27138,0,0.0
45,6.25432,0,0.0
46,6.26882,0,0.0
47,6.25901,0,0.0
48,6.24677,0,0.0
49,6.25488,0,0.0
50,6.26184,0,0.0
51,6.21911,0,0.0
52,6.24148,0,0.0
53,6.23059,0,0.0
54,6.22611,0,0.0
55,6.22297,0,0.0
56,6.19782,0,0.0
57,6.21536,48,0.9212034978508968
58,6.20274,48,0.9193330369052912
59,6.24147,96,0.46253668297020895
60,6.1954,96,0.4591225729954054
61,6.24674,144,0.3086181512771108
62,6.22659,144,0.3076226471024159
63,6.18707,144,0.30567017439849814
64,6.23181,144,0.3078805394990366
65,6.20721,144,0.30666518452645614
66,6.21754,144,0.30717553480559256
67,6.25261,144,0.3089081567116249
68,0.257819,144,0.01273746356405316
69,0.256153,144,0.012655155377698731
70,0.262897,144,0.012988340497011017
71,0.263015,144,0.012994170248505509
72,0.260338,144,0.012861913937058449
73,0.258423,144,0.012767303986957168
74,0.252428,144,0.012471122968232794
75,0.262232,144,0.012955486389012404
76,0.263889,144,0.01303734993330369
77,0.262816,144,0.012984338718442763
78,0.32811,144,0.01621016748184378
79,0.326509,144,0.016131070599278693
80,0.326203,144,0.016115952769131962
81,0.331302,144,0.016367867200237144
82,0.329535,144,0.01628056914184082
83,0.329667,144,0.01628709055876686
84,0.331914,144,0.016398102860530606
85,0.33187,144,0.016395929054888594
86,0.336107,144,0.016605256657279778
87,0.331572,144,0.016381206462131318
88,0.330656,144,0.01633595178103849
89,0.332027,144,0.01640368558865669
90,0.327461,144,0.01617810384862408
91,0.340024,144,0.01679877476409268
92,0.328442,144,0.01622656983350625
93,0.329666,144,0.016287041154093178
94,0.33603,144,0.016601452497406254
95,0.328834,144,0.016245936465589646
96,0.328634,144,0.016236055530853218
97,0.3508,144,0.01733115952769132
98,0.334708,144,0.01653613951879848
99,0.333893,144,0.016495874709747543
100,0.324689,144,0.016041154093177218
101,0.331372,144,0.016371325527394894
102,0.331097,144,0.016357739242132303
103,0.332351,144,0.016419692702929697
104,0.331519,144,0.016378588014426165
105,5.39849,144,0.26671063682624374
106,1132.97,144,55.9740131416432
107,1192.37,144,58.90865075836174
108,1197.29,144,59.15172175287782
109,1183.0,144,58.44572896596018
110,1298.92,144,64.17271873919273
111,1349.82,144,66.68741662961317
112,1348.84,144,66.63900004940466
113,1346.14,144,66.50560743046293
114,1344.83,144,66.44088730793933
115,1341.04,144,66.25364359468406
116,1338.75,144,66.14050689195199
117,1336.57,144,66.03280470332493
118,1332.34,144,65.82382293364951
119,1331.33,144,65.77392421323056
120,1327.95,144,65.60693641618496
121,1325.51,144,65.48638901240058
122,1324.03,144,65.41327009535102
123,1322.65,144,65.34509164566968
124,1322.06,144,65.31594288819723
125,1333.37,144,65.87470974754211
126,1432.5,144,70.7721950496517
127,1504.46,144,74.3273553678178
128,1473.22,144,72.78395336198804
129,1374.91,144,67.92697989229781
130,1369.07,144,67.63845659799416
131,1379.59,144,68.15819376513018
132,1356.37,144,67.0110172422311
133,1357.76,144,67.07968973864928
134,1345.78,144,66.48782174793736
135,1334.13,144,65.91225729954054
136,1321.53,144,65.28975841114568
137,1230.6,144,60.797391433229585
138,1236.18,144,61.073069512375874
139,1231.09,144,60.821599723333826
140,1171.95,144,57.89980732177264
141,1164.77,144,57.545081764734945
142,1148.24,144,56.72842250876933
143,1101.16,144,54.402450471814646
144,1080.82,144,53.39755940912009
145,1017.61,144,50.27468998567264
146,934.598,144,46.17350921397164
147,890.078,144,43.9740131416432
148,849.745,144,41.98137443802184
149,761.561,144,37.62467269403685
150,667.547,144,32.97994170248506
151,668.838,144,33.04372313620868
152,590.591,144,29.177955634603034
153,567.178,144,28.021244009683315
154,1230.62,144,60.798379526703215
155,2480.0,144,122.52359073168321
156,2844.08,144,140.51084432587322
157,2895.75,144,143.0635838150289
158,2928.06,144,144.65984882169855
159,2930.81,144,144.7957116743244
160,2927.8,144,144.6470036065412
161,2949.93,144,145.7403290351267
162,3003.71,144,148.3973123857517
163,3032.71,144,149.83004792253348
164,3024.21,144,149.41010819623537
165,3019.38,144,149.17148362235068
166,3011.87,144,148.80045452299788
167,3043.62,144,150.3690529124055
168,3043.73,144,150.37448742651054
169,3034.22,144,149.90464897979348
170,3031.09,144,149.75001235116844
171,3029.3,144,149.6615779852774
172,3020.37,144,149.22039424929596
173,3027.3,144,149.56276863791317
174,3033.54,144,149.87105380168964
175,3033.2,144,149.85425621263772
176,3030.26,144,149.70900647201225
177,3025.93,144,149.4950842349686
178,3025.72,144,149.48470925349537
179,3020.91,144,149.2470727730843
180,3014.61,144,148.93582332888693
181,3022.21,144,149.3112988488711
182,3026.27,144,149.51188182402052
183,3017.15,144,149.0613112000395
184,2948.39,144,145.66424583765624
185,3008.31,144,148.62457388468948
186,3002.25,144,148.32518156217577
187,3084.93,144,152.4099599822143
188,3098.94,144,153.10211946050097
189,3028.85,144,149.63934588212044
190,3012.91,144,148.85183538362728
191,3045.63,144,150.4683563065066
192,3037.16,144,150.04989872041892
193,3035.26,144,149.9560298404229
194,3026.18,144,149.50743540338914
195,3021.36,144,149.26930487624128
196,3016.44,144,149.02623388172523
197,3077.11,144,152.0236154340201
198,3061.97,144,151.27562867447259
199,3054.93,144,150.9278197717504
200,3049.03,144,150.63633219702584
201,3039.14,144,150.14771997430955
202,3027.47,144,149.5711674324391
203,3014.92,144,148.95113877772837
204,3024.66,144,149.43234029939234
205,3022.61,144,149.33106071834396
206,3020.63,144,149.23323946445333
207,3055.66,144,150.96388518353837
208,3056.66,144,151.01328985722049
209,3043.92,144,150.38387431451017
210,3040.08,144,150.19416036757076
211,3029.2,144,149.6566375179092
212,3022.57,144,149.32908453139666
213,3036.2,144,150.0024702336841
214,3033.0,144,149.8443752779013
215,3031.02,144,149.74655402401066
216,3019.06,144,149.1556741267724
217,3019.27,144,149.16604910824563
218,3037.4,144,150.06175584210266
219,3030.47,144,149.71938145348548
220,3034.94,144,149.94022034484465
221,3026.99,144,149.54745318907166
222,3020.98,144,149.2505311002421
223,3016.67,144,149.0375969566721
224,2983.68,144,147.4077367718986
225,3009.32,144,148.67447260510846
226,3003.14,144,148.36915172175287
227,2999.55,144,148.19178894323403
228,3065.03,144,151.4268069759399
229,3070.17,144,151.68074699866608
230,3042.74,144,150.32557679956523
231,3031.22,144,149.7564349587471
232,3034.11,144,149.89921446568846
233,3035.87,144,149.986166691369
234,3027.68,144,149.58154241391233
235,3023.1,144,149.3552690084482
236,3025.61,144,149.47927473939035
237,3046.83,144,150.52764191492514
238,3039.35,144,150.1580949557828
239,3028.93,144,149.64329825601502
240,3028.5,144,149.62205424633171
241,3024.84,144,149.44123314065513
242,3020.36,144,149.21990020255916
243,3024.6,144,149.4293760189714
244,3025.19,144,149.45852477644388
245,3024.08,144,149.40368558865669
246,3023.42,144,149.37107850402649
247,3021.86,144,149.29400721308238
248,3045.63,144,150.4683563065066
249,3046.45,144,150.50886813892592
250,3040.75,144,150.2272614989378
251,3031.48,144,149.76928017390446
252,3036.39,144,150.0118571216837
253,3028.42,144,149.61810187243714
254,3022.6,144,149.3305666716071
255,3022.74,144,149.33748332592262
256,3018.48,144,149.12701941603675
257,3009.39,144,148.67793093226618
258,3052.89,144,150.82703423743885
259,3041.66,144,150.27221975198853
260,3033.97,144,149.89229781137294
261,3023.22,144,149.36119756929003
262,3020.13,144,149.20853712761226
263,3031.53,144,149.77175040758857
264,3023.67,144,149.38342967244702
265,3017.0,144,149.05390049898722
266,3017.33,144,149.0702040413023
267,3024.74,144,149.43629267328689
268,3033.21,144,149.85475025937453
269,2980.72,144,147.26149893779953
270,3049.07,144,150.6383083839731
271,3037.61,144,150.07213082357592
272,3033.44,144,149.86611333432143
273,3024.56,144,149.42739983202412
274,3017.51,144,149.0790968825651
275,3023.05,144,149.3527987747641
276,3023.58,144,149.3789832518156
277,3023.29,144,149.36465589644777
278,3016.61,144,149.03463267625116
279,2978.26,144,147.13996344054146
280,3020.1,144,149.2070549874018
281,3042.97,144,150.33693987451213
