lb,inst_lumi_ub_s,collbunches,mu
1,0.354313,108,0.02333962419511552
2,0.354283,252,0.010001849146357817
3,0.354615,252,0.01001122191873637
4,0.354521,252,0.010008568181978586
5,0.355004,396,0.006377766100309452
6,0.3554,396,0.00638488037331968
7,0.356161,396,0.006398551993927717
8,0.355153,540,0.004678991485927902
9,0.35494,540,0.004676185300462757
10,0.355858,540,0.004688279564580143
11,0.35674,540,0.004699899543830179
12,0.355477,540,0.004683260049734038
13,0.355871,540,0.004688450834115574
14,0.355357,540,0.0046816791001762096
15,0.35574,648,0.0039056041368180096
16,0.355854,756,0.003348733475901106
17,0.356237,756,0.003352337664476393
18,0.356743,756,0.0033570993339779465
19,0.35637,756,0.003353589249543007
20,0.357444,900,0.002825504668741663
21,0.356418,1044,0.002428788273715521
22,0.357065,1188,0.002138264219189075
23,0.35745,1188,0.002140569770627574
24,0.358,1296,0.0019652081309114063
25,0.357623,1296,0.001963138624024944
26,0.357361,1404,0.0018108003683815156
27,0.357873,1404,0.0018133947471430797
28,0.35833,1404,0.0018157104328736164
29,0.35869,1404,0.0018175346054403413
30,0.358907,1404,0.001818634176126395
31,0.358994,1548,0.001649858737101646
32,0.359696,1836,0.0013937775297856903
33,0.360326,1836,0.0013962187018970427
34,0.361057,2016,0.0012741359475463522
35,0.360691,2016,0.0012728443682200907
36,0.361091,2304,0.0011149739390346328
37,0.362635,2448,0.0010538743435717253
38,0.364215,2448,0.0010584660720668884
39,0.364197,2448,0.0010584137612359304
40,0.362539,2448,0.0010535953524732852
41,0.363342,2448,0.001055928996765447
42,0.362654,2448,0.0010539295605599582
43,0.364218,2448,0.0010584747905387144
44,0.262221,2448,0.0007620554669177587
45,0.265069,2448,0.0007703322028381532
46,0.27021,2448,0.0007852727573910845
47,0.273827,2448,0.0007957843282562766
48,0.279921,2448,0.0008134944506926825
49,0.287574,2448,0.0008357352723214676
50,0.298121,2448,0.0008663865131053164
51,0.307602,2448,0.0008939397902335678
52,0.316132,2448,0.0009187293117928956
53,0.324519,2448,0.0009431032528618384
54,0.330044,2448,0.0009591597718085307
55,0.333137,2448,0.000968148516261403
56,0.33855,2448,0.0009838795455932483
57,0.332752,2448,0.0009670296457103666
58,0.338125,2448,0.000982644428751195
59,0.342942,2448,0.0009966433883468906
60,0.352068,2448,0.0010231649796423683
61,0.359905,2448,0.0010459405342098302
62,0.367825,2448,0.0010689572998311522
63,0.376076,2448,0.001092936003510638
64,0.382318,2448,0.001111076237223806
65,0.384426,2448,0.0011172024167603902
66,0.388161,2448,0.0011280569141840816
67,0.394678,2448,0.0011469963411479902
68,0.406202,2448,0.0011804868975899237
69,0.416304,2448,0.0012098448983862108
70,0.417821,2448,0.0012142535389730222
71,0.418392,2448,0.0012159129547772863
72,0.41862,2448,0.0012165755586360822
73,0.417471,2448,0.0012132363839266254
74,0.41584,2448,0.0012084964414104161
75,0.418024,2448,0.0012148434888999322
76,0.416287,2448,0.0012097954937125286
77,0.416988,2448,0.0012118327099625978
78,0.418423,2448,0.0012160030456528248
79,0.420202,2448,0.0012211730994457959
80,0.420556,2448,0.0012222018791212942
81,0.433681,2448,0.0012603451933611745
82,0.449387,2448,0.001305989299528912
83,0.45785,2448,0.0013305841085507865
84,0.463604,2448,0.00134730613751355
85,0.470666,2448,0.001367829420192562
86,0.477341,2448,0.0013872280200059866
87,0.465706,2448,0.0013534148801064817
88,0.458462,2448,0.0013323626768033433
89,0.45803,2448,0.0013311072168603621
90,0.458129,2448,0.0013313949264306285
91,0.457494,2448,0.0013295495165607373
92,1976.79,2448,5.744862640476377
93,16002.5,2448,46.505781799899445
94,15743.2,2448,45.752215218383185
95,15695.1,2448,45.61242905343551
96,17111.9,2448,49.72987268124977
97,17569.3,2448,51.059149019026606
98,17532.5,2448,50.95220243129118
99,17513.1,2448,50.89582298014803
100,17504.2,2448,50.86995818039681
101,17490.9,2448,50.831306288633726
102,17487.2,2448,50.820553506714674
103,17482.1,2448,50.80573210461004
104,17473.2,2448,50.77986730485881
105,17459.3,2448,50.73947171873048
106,17456.1,2448,50.730172015449135
107,17449.8,2448,50.71186322461399
108,17444.4,2448,50.69616997532673
109,17434.3,2448,50.66681778684499
110,17414.5,2448,50.609275872791684
111,17623.4,2448,51.216372127626805
112,18055.6,2448,52.472413302063075
113,18248.2,2448,53.032139193308865
114,18580.3,2448,53.99727402447565
115,19025.6,2448,55.29138585921992
116,19185.5,2448,55.756080407559494
117,19373.7,2448,56.30301920679344
118,19632.7,2448,57.05571394112707
119,19718.5,2448,57.30506223535805
120,19835.3,2448,57.644501405127045
121,19250.6,2448,55.9452712461893
122,16948.7,2448,49.25558781390132
123,17183.2,2448,49.93708169498717
124,20908.0,2448,60.761936314469466
125,21759.1,2448,63.235366771578946
126,21727.1,2448,63.142369738765524
127,21677.4,2448,62.99793372217719
128,21730.6,2448,63.15254128922949
129,21785.4,2448,63.311798707922485
130,21545.5,2448,62.614611577549354
131,21529.5,2448,62.56811306114264
132,21517.9,2448,62.53440163674778
133,21479.7,2448,62.42338642882675
134,21429.5,2448,62.2774973336007
135,21390.3,2448,62.16357596840426
136,21352.3,2448,62.05314199193832
137,21328.8,2448,61.984847295965956
138,21313.4,2448,61.9400924739245
