lb,inst_lumi_ub_s,collbunches,mu
1,0.250044,112,0.015882868576510195
2,0.257692,112,0.016368671790637106
3,0.241337,112,0.015329797370259798
4,0.244042,112,0.015501619767515722
5,0.240849,112,0.015298799466429525
6,0.248778,112,0.01580245188337674
7,0.249354,112,0.015839039573143615
8,0.24459,112,0.015536428889030045
9,0.237313,112,0.015074191704249508
10,0.251623,112,0.01598316712189544
11,0.258442,112,0.016416312011687733
12,0.234127,112,0.01487181604522645
13,0.239571,112,0.015217620529759258
14,0.252404,112,0.01603277647208283
15,0.254067,112,0.01613841072222575
16,0.252633,112,0.016047322619576955
17,0.25015,112,0.015889601727752018
18,0.250729,112,0.0159263799784031
19,0.252179,112,0.01601848440576764
20,0.250054,112,0.015883503779457537
21,0.246364,112,0.015649113891888458
22,0.247029,112,0.01569135488788668
23,0.246943,112,0.015685892142539543
24,0.249708,112,0.015861525757479514
25,0.245739,112,0.015609413707679605
26,511.261,112,32.475449406085254
27,1034.29,112,65.69840564060218
28,984.028,112,62.50574858667344
29,1046.7,112,66.48669249825319
30,1245.76,112,79.13104236803659
31,1293.6,112,82.16985326811916
32,1293.87,112,82.18700374769737
33,1291.62,112,82.0440830845455
34,1314.22,112,83.4796417455377
35,1424.35,112,90.47513180461158
36,1519.7,112,96.53179190751445
37,1538.88,112,97.75011116051579
38,1520.09,112,96.55656482246077
39,1469.34,112,93.33290986470176
40,1511.59,112,96.01664231722035
41,1536.85,112,97.62116496220541
42,1539.68,112,97.80092739630314
43,1517.94,112,96.41999618878232
44,1496.68,112,95.06955472273391
45,1492.95,112,94.83262402337547
46,1469.5,112,93.34307311185924
47,1481.42,112,94.10023502509053
48,1493.09,112,94.84151686463825
49,1495.87,112,95.01810328399922
50,1433.67,112,91.06714095153401
51,1445.24,112,91.80207076160833
52,1727.3,112,109.71860509432764
53,2044.24,112,129.8507273073747
54,2086.49,112,132.53445975989328
55,2080.96,112,132.18319253001334
56,2081.77,112,132.234643968748
57,2083.6,112,132.35088610811155
58,2100.15,112,133.40214698596202
59,2103.78,112,133.63272565584705
60,2075.58,112,131.8414533443435
61,2071.51,112,131.58292574477548
62,2066.92,112,131.29136759194563
63,2087.83,112,132.61957695483707
64,2082.48,112,132.27974337800927
65,2077.52,112,131.96468271612778
66,2069.19,112,131.4355586609922
67,2063.67,112,131.08492663405957
68,2077.36,112,131.95451946897035
69,2086.73,112,132.54970463062952
70,2077.36,112,131.95451946897035
71,2076.59,112,131.90560884202503
72,2072.77,112,131.6629613161405
73,2070.83,112,131.53973194435622
74,2064.14,112,131.11478117258463
75,2065.3,112,131.18846471447628
76,2064.06,112,131.1096995490059
77,2075.07,112,131.8090579940291
78,2076.97,112,131.92974655402398
79,2077.93,112,131.99072603696882
80,2072.77,112,131.6629613161405
81,2092.18,112,132.8958902369307
82,2092.75,112,132.9320968049292
83,2082.18,112,132.260687289589
84,2074.47,112,131.7709458171886
85,2070.85,112,131.5410023502509
86,2076.88,112,131.92402972749792
87,2077.0,112,131.93165216286604
88,2071.37,112,131.57403290351266
89,2075.99,112,131.86749666518452
90,2073.88,112,131.73346884329544
91,2072.2,112,131.62675474814202
92,2064.14,112,131.11478117258463
93,2062.89,112,131.03538080416692
94,2058.11,112,130.73175379533762
95,2100.95,112,133.45296322174931
96,2125.66,112,135.02254970463062
97,2069.78,112,131.47303563488535
98,2069.19,112,131.4355586609922
99,2073.54,112,131.7118719430858
100,2073.37,112,131.70107349298098
101,2083.36,112,132.33564123737537
102,2076.56,112,131.90370323318297
103,2079.87,112,132.1139554087531
104,2083.6,112,132.35088610811155
105,2082.19,112,132.26132249253638
106,2071.85,112,131.60452264498508
107,2072.78,112,131.66359651908786
108,2090.85,112,132.81140824493426
109,2079.29,112,132.0771136378073
110,2075.23,112,131.81922124118657
111,2079.51,112,132.09108810264883
112,2082.89,112,132.30578669885028
113,2080.38,112,132.14635075906753
114,2073.96,112,131.73855046687416
115,2068.59,112,131.3974464841517
116,2070.79,112,131.53719113256685
117,2077.97,112,131.99326684875817
118,2083.11,112,132.3197611636918
119,2073.67,112,131.72012958140127
120,2060.16,112,130.86197039954263
121,2072.55,112,131.648986851299
122,2079.18,112,132.07012640538653
123,2070.86,112,131.54163755319826
124,2071.64,112,131.5911833830909
125,2072.56,112,131.64962205424632
126,2072.68,112,131.6572444896144
127,2075.43,112,131.8319253001334
128,2080.13,112,132.13047068538398
129,2077.43,112,131.9589658896017
130,2073.89,112,131.73410404624278
131,2072.01,112,131.61468589214255
132,2073.4,112,131.70297910182302
133,2066.81,112,131.28438035952487
134,2064.3,112,131.12494441974212
135,2077.13,112,131.93990980118147
136,2064.38,112,131.13002604332087
137,2093.83,112,133.00069872324207
138,2100.35,112,133.41485104490883
139,2092.22,112,132.89843104872006
140,2066.36,112,131.2557962268945
141,2067.49,112,131.3275741599441
142,2066.32,112,131.25325541510512
143,2069.74,112,131.47049482309598
144,2079.82,112,132.11077939401642
145,2072.23,112,131.62866035698408
146,2072.81,112,131.66550212792987
147,2068.92,112,131.41840818141395
148,2067.68,112,131.33964301594358
149,2083.81,112,132.36422537000573
150,2078.1,112,132.00152448707362
151,2079.48,112,132.0891824938068
152,2077.95,112,131.9919964428635
153,2063.75,112,131.09000825763835
154,2068.05,112,131.36314552499525
155,2057.84,112,130.71460331575938
156,2067.52,112,131.32947976878611
157,2073.91,112,131.73537445213742
158,2073.42,112,131.70424950771772
159,2087.05,112,132.57003112494442
160,2080.24,112,132.13745791780474
161,2075.51,112,131.83700692371215
162,2078.8,112,132.04598869338756
163,2082.89,112,132.30578669885028
164,2079.12,112,132.06631518770246
165,2070.84,112,131.54036714730356
166,2065.34,112,131.19100552626566
167,2077.61,112,131.97039954265387
168,2077.48,112,131.96214190433844
169,2075.66,112,131.84653496792225
170,2070.08,112,131.4920917233056
171,2075.57,112,131.8408181413962
172,2079.04,112,132.06123356412374
173,2074.04,112,131.7436320904529
174,2067.17,112,131.30724766562918
175,2065.36,112,131.19227593216033
176,2070.63,112,131.52702788540938
177,2080.52,112,132.1552436003303
178,2076.49,112,131.89925681255158
179,2071.84,112,131.60388744203775
180,2072.42,112,131.64072921298356
181,2086.61,112,132.5420821952614
182,2070.65,112,131.52829829130408
183,2085.52,112,132.47284507400116
184,2077.84,112,131.98500921044274
185,2070.54,112,131.52131105888333
186,2061.6,112,130.95343962395987
187,2082.48,112,132.27974337800927
188,2090.24,112,132.77266086514638
189,2086.93,112,132.5624086895763
190,2087.23,112,132.58146477799656
191,2080.33,112,132.14317474433082
192,2080.9,112,132.17938131232933
193,2071.6,112,131.58864257130153
194,2067.29,112,131.31487010099727
195,2092.74,112,132.93146160198182
196,2081.18,112,132.19716699485483
197,2074.86,112,131.79571873213493
198,2071.12,112,131.55815282982914
199,2066.52,112,131.26595947405195
200,2072.53,112,131.6477164454043
201,2082.22,112,132.2632281013784
202,2072.77,112,131.6629613161405
203,2073.19,112,131.68963983992884
204,2072.02,112,131.6153210950899
205,2081.59,112,132.2232103156959
206,2083.59,112,132.3502509051642
207,2074.6,112,131.77920345550402
208,2071.32,112,131.57085688877595
209,2064.44,112,131.1338372610049
210,2060.32,112,130.87213364670015
211,2075.07,112,131.8090579940291
212,2092.47,112,132.91431112240357
213,2187.44,112,138.9468335133075
214,2261.55,112,143.65432255605666
215,2199.33,112,139.70208981769673
216,2190.17,112,139.1202439179318
217,2189.38,112,139.0700628850918
218,2185.32,112,138.81217048847108
219,2191.9,112,139.2301340278219
220,2204.28,112,140.0165152766309
221,2199.38,112,139.70526583243347
222,2196.98,112,139.55281712507147
223,2193.96,112,139.3609858349743
224,2255.47,112,143.2681191640729
225,2341.05,112,148.704185987423
226,2352.58,112,149.43657498570792
227,2349.78,112,149.25871816045228
228,2350.14,112,149.28158546655655
229,2348.05,112,149.14882805056217
230,2355.52,112,149.6233246522264
231,2355.43,112,149.61760782570028
232,2351.31,112,149.3559042113955
233,2346.37,112,149.04211395540875
